file	note	frequency_hz	shape	color	peak	rms	dc	sample_hash
note036_shape000_color000.wav	36	65.406387	0.00	0.00	0.135703	0.046470	-0.000059609	9b44bb8533eea469
note036_shape000_color050.wav	36	65.406387	0.00	0.50	0.164419	0.061888	0.000029348	38d990a9e8c2dd73
note036_shape000_color100.wav	36	65.406387	0.00	1.00	0.157185	0.060882	0.000036090	6909da9b74b69329
note036_shape050_color000.wav	36	65.406387	0.50	0.00	0.132612	0.046508	0.000017892	5abaed93aadce429
note036_shape050_color050.wav	36	65.406387	0.50	0.50	0.160614	0.061962	-0.000044149	7be2a40b0acfbb09
note036_shape050_color100.wav	36	65.406387	0.50	1.00	0.153490	0.060948	-0.000046296	9d576023fa94847b
note036_shape100_color000.wav	36	65.406387	1.00	0.00	0.174595	0.087648	0.000077499	952ca8e109451b87
note036_shape100_color050.wav	36	65.406387	1.00	0.50	0.171648	0.109179	-0.000073498	5bde1cd600de6b47
note036_shape100_color100.wav	36	65.406387	1.00	1.00	0.159999	0.105560	-0.000082385	012c3a2a3967777d
note060_shape000_color000.wav	60	261.625549	0.00	0.00	0.137693	0.046817	-0.000004391	76011c545cfe7ea5
note060_shape000_color050.wav	60	261.625549	0.00	0.50	0.165987	0.062309	0.000001167	9dad0ccbfada72b3
note060_shape000_color100.wav	60	261.625549	0.00	1.00	0.157731	0.060665	0.000001571	ed32ca5784f16df3
note060_shape050_color000.wav	60	261.625549	0.50	0.00	0.137424	0.046820	0.000001931	bdfce732bb1bc4a5
note060_shape050_color050.wav	60	261.625549	0.50	0.50	0.165522	0.062318	-0.000002241	136675a5034d70df
note060_shape050_color100.wav	60	261.625549	0.50	1.00	0.157279	0.060673	-0.000002430	617e796e6c3c6367
note060_shape100_color000.wav	60	261.625549	1.00	0.00	0.177051	0.088214	0.000006322	a94679904586a5bf
note060_shape100_color050.wav	60	261.625549	1.00	0.50	0.171802	0.109665	-0.000003408	7ca905ba796199d1
note060_shape100_color100.wav	60	261.625549	1.00	1.00	0.160000	0.105273	-0.000004002	2bad0b648fa7e57f
note084_shape000_color000.wav	84	1046.502197	0.00	0.00	0.140171	0.048224	-0.000000388	587bfe1c20755741
note084_shape000_color050.wav	84	1046.502197	0.00	0.50	0.164782	0.063201	-0.000000088	01492c754cbb9557
note084_shape000_color100.wav	84	1046.502197	0.00	1.00	0.154434	0.059671	-0.000000071	32b067ed863d1939
note084_shape050_color000.wav	84	1046.502197	0.50	0.00	0.139849	0.048224	0.000000294	ddbab4e3f077466b
note084_shape050_color050.wav	84	1046.502197	0.50	0.50	0.164530	0.063201	0.000000111	36a0b9519f689913
note084_shape050_color100.wav	84	1046.502197	0.50	1.00	0.154200	0.059671	0.000000094	1358aeb3c4a8d287
note084_shape100_color000.wav	84	1046.502197	1.00	0.00	0.178935	0.090608	0.000000683	3909ba727f7a2fd1
note084_shape100_color050.wav	84	1046.502197	1.00	0.50	0.172000	0.110782	0.000000199	c57f71b8cf67a9cf
note084_shape100_color100.wav	84	1046.502197	1.00	1.00	0.160000	0.104110	0.000000166	15ce149bd64d74af
