method	note	frequency_hz	shape	alias_error_db	peak	rms	dc	finite	sample_hash
polyblep	36	65.395096	0.00	-36.171457	0.996401	0.576310	0.000000581	true	8af53dedfbc09f89
polyblep	36	65.395096	0.50	-36.074207	0.498203	0.288154	-0.000000339	true	fb65413733482b1b
polyblep	36	65.395096	1.00	-37.817910	1.000000	0.998798	-0.000001262	true	4a0c6d664d3af040
polyblep	60	262.295074	0.00	-32.925295	0.983721	0.573211	-0.000000507	true	516db8f955cdfaaa
polyblep	60	262.295074	0.50	-27.255539	0.494550	0.286308	0.000000066	true	4616ffe3ea91ca29
polyblep	60	262.295074	1.00	-30.949790	1.000000	0.994863	0.000000629	true	69af5b41d23d45b3
polyblep	84	1043.478271	0.00	-25.644956	0.934790	0.560916	0.000000029	true	311f997de8fe4fa1
polyblep	84	1043.478271	0.50	-25.644584	0.467395	0.280458	-0.000000029	true	526d1d1058111ba5
polyblep	84	1043.478271	1.00	-26.215571	1.000000	0.980794	-0.000000087	true	7ecae06d25c91b19
polyblep	96	2086.956543	0.00	-24.559537	0.869573	0.544564	0.000000052	true	32fae7dc9dd3fb61
polyblep	96	2086.956543	0.50	-18.324549	0.456526	0.269776	-0.000000005	true	ce60565890ee0825
polyblep	96	2086.956543	1.00	-21.910564	1.000000	0.958373	-0.000000064	true	31db94b2562878f9
integrated_wavetable	36	65.395096	0.00	-38.850897	0.998609	0.576971	-0.000007862	true	8b7795fbbe425838
integrated_wavetable	36	65.395096	0.50	-38.795636	0.499295	0.288484	0.000000006	true	edf171da80871649
integrated_wavetable	36	65.395096	1.00	-40.546118	1.000000	0.999559	0.000007873	true	47324f6a7f71bf92
integrated_wavetable	60	262.295074	0.00	-32.974324	0.994529	0.577243	-0.000001787	true	f73b9749528ca42e
integrated_wavetable	60	262.295074	0.50	-27.255994	0.494594	0.286309	0.000000005	true	7ea0f727601065c2
integrated_wavetable	60	262.295074	1.00	-31.030165	1.000002	0.997207	0.000001798	true	dfef6461be13ef5f
integrated_wavetable	84	1043.478271	0.00	-26.980621	0.978258	0.577207	-0.000000121	true	2aa8b281bddd0d98
integrated_wavetable	84	1043.478271	0.50	-26.980889	0.489129	0.288604	0.000000000	true	e61d8aab4f23e766
integrated_wavetable	84	1043.478271	1.00	-28.778024	1.000000	0.999992	0.000000121	true	7aaafad8ba063a9b
integrated_wavetable	96	2086.956543	0.00	-24.168302	0.956522	0.576798	-0.000000121	true	f6c44d336b7ff030
integrated_wavetable	96	2086.956543	0.50	-18.324547	0.456525	0.269776	0.000000002	true	f1c90945feeaf499
integrated_wavetable	96	2086.956543	1.00	-22.393667	1.000000	0.978015	0.000000124	true	449b43af5a315582
