method	note	condition	alias_error_db	peak	rms	dc	fundamental_db	third_db	pitch_retained	finite	selected
direct	36	moderate	-109.249	1.008783	0.676744	-0.003404461	-0.417	-26.645	true	true	true
direct	36	strong	-108.948	1.360000	0.900159	-0.004576949	2.036	-19.419	true	true	true
direct	60	moderate	-97.049	1.008783	0.679214	0.002581791	-0.357	-25.453	true	true	true
direct	60	strong	-95.597	1.360000	0.903634	0.003423431	2.098	-18.710	true	true	true
direct	84	moderate	-83.878	1.008783	0.678921	-0.000529539	-0.364	-25.559	true	true	true
direct	84	strong	-73.546	1.360000	0.903231	-0.000714963	2.091	-18.774	true	true	true
direct	96	moderate	-73.700	1.008783	0.678709	0.000037998	-0.369	-25.679	true	true	true
direct	96	strong	-59.121	1.360000	0.902931	0.000050120	2.085	-18.846	true	true	true
adaa1	36	moderate	-86.874	1.010561	0.676745	-0.003412196	-0.417	-26.629	true	true	false
adaa1	36	strong	-83.721	1.363285	0.900161	-0.004600548	2.036	-19.410	true	true	false
adaa1	60	moderate	-86.441	1.009310	0.679166	0.002585194	-0.358	-25.455	true	true	false
adaa1	60	strong	-83.120	1.361887	0.903528	0.003435035	2.097	-18.713	true	true	false
adaa1	84	moderate	-64.729	1.006771	0.678101	-0.000527827	-0.375	-25.657	true	true	false
adaa1	84	strong	-61.001	1.357406	0.901398	-0.000711055	2.074	-18.849	true	true	false
adaa1	96	moderate	-53.093	1.000746	0.675458	0.000048636	-0.410	-26.060	true	true	false
adaa1	96	strong	-49.502	1.346958	0.895650	0.000081693	2.017	-19.138	true	true	false
oversampled_2x	36	moderate	-109.343	1.008779	0.676744	-0.003408324	-0.417	-26.637	true	true	false
oversampled_2x	36	strong	-109.473	1.359993	0.900159	-0.004588611	2.036	-19.415	true	true	false
oversampled_2x	60	moderate	-95.124	1.008712	0.679184	0.002583573	-0.358	-25.456	true	true	false
oversampled_2x	60	strong	-95.246	1.359879	0.903568	0.003429257	2.097	-18.712	true	true	false
oversampled_2x	84	moderate	-75.460	1.007647	0.678416	-0.000528630	-0.371	-25.631	true	true	false
oversampled_2x	84	strong	-75.185	1.358065	0.902102	-0.000712953	2.080	-18.830	true	true	false
oversampled_2x	96	moderate	-64.365	1.004256	0.676707	0.000043342	-0.394	-25.965	true	true	false
oversampled_2x	96	strong	-61.442	1.352275	0.898448	0.000066541	2.044	-19.066	true	true	false
